prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
749,16752,confirmed,98,0.98,0.005033335763966052,0.011681908149397433,0.12949945032596588,8,max,624
750,6037,rejected,16,0.16,0.00044812365898919945,0.002688931682202426,0.09578513354063034,3,min,661
751,17952,confirmed,76,0.76,0.0016807925902957174,0.00501333373505542,0.08900786936283112,8,mean,288
752,15454,rejected,6,0.06,0.0003508615536849321,0.0018041240292205399,0.08434449881315231,7,mean,94
753,7093,rejected,13,0.13,0.000403150353150164,0.001467291370591531,0.09188401699066162,4,max,181
754,20099,rejected,6,0.06,0.0002391746493023366,0.0010889231939083858,0.09220995008945465,9,mean,131
755,6667,confirmed,99,0.99,0.004547792690014259,0.010710544821721542,0.10490143299102783,3,mean,523
756,4586,tentative,64,0.64,0.001424641770590775,0.004775516471154498,0.07624145597219467,2,mean,746
757,1521,rejected,10,0.1,0.0003466222001984598,0.0013959864474785075,0.1002751812338829,1,min,753
758,27511,tentative,57,0.57,0.0010673940952692518,0.002767949186108341,0.07328993082046509,12,mean,631
759,2564,rejected,23,0.23,0.0005232943707348512,0.0030076890232257616,0.09987899661064148,2,max,260
760,6848,rejected,5,0.05,0.00025811518115624317,0.001547198888095338,0.059605758637189865,3,mean,704
761,20484,tentative,59,0.59,0.0010269161966687975,0.00297268335222829,0.07924885302782059,9,mean,516
762,6357,rejected,28,0.28,0.000633248009490788,0.003580357185540133,0.06790107488632202,3,mean,213
763,1715,rejected,21,0.21,0.0004733330477392141,0.0020236240540937936,0.11077673733234406,1,mean,179
764,13606,rejected,4,0.04,0.00021456890489338065,0.0012129656887359046,0.07351183146238327,6,mean,550
765,14278,tentative,38,0.38,0.0007507258447507804,0.0020700438053671963,0.09480813145637512,7,max,454
766,9784,confirmed,75,0.75,0.0016936906628149185,0.004961229667510099,0.11002478003501892,5,max,568
767,2205,rejected,10,0.1,0.00026528871347704624,0.0016336063688186472,0.09789582341909409,1,mean,669
768,13485,rejected,8,0.08,0.0003225209943329676,0.0017293251650783666,0.07138654589653015,6,mean,429
769,25107,rejected,8,0.08,0.0003523051189278384,0.0013930783189974806,0.070882149040699,11,mean,531
770,17966,confirmed,67,0.67,0.00155152044282486,0.00482677930036802,0.13256153464317322,8,mean,302
771,13461,rejected,3,0.03,0.00018923324714334658,0.001087322933694896,0.07154074311256409,6,mean,405
